Promotion,Seasonal,Sales_Volume,price,terms,section,season,material,origin
Yes,Yes,1423,40.95,jackets,WOMAN,Spring,Linen,Bangladesh
No,Yes,834,74.95,sweaters,MAN,Winter,Wool Blend,Portugal
Yes,No,1754,14.99,sweaters,WOMAN,Summer,Polyester,Bangladesh
Yes,Yes,1225,36.99,jeans,MAN,Autumn,Wool Blend,Vietnam
Yes,No,1380,25.0,jackets,WOMAN,Autumn,Denim,Cambodia
Yes,Yes,1300,45.99,jackets,MAN,Winter,Wool,Vietnam
No,No,856,15.99,jackets,WOMAN,Autumn,Polyester,Vietnam
Yes,No,1560,23.99,shoes,WOMAN,Autumn,Acrylic,China
Yes,No,1432,26.99,jackets,WOMAN,Autumn,Acrylic,Vietnam
No,Yes,1033,15.95,jackets,WOMAN,Autumn,Wool Blend,Vietnam
Yes,No,1197,86.99,t-shirts,WOMAN,Spring,Linen,Bangladesh
Yes,Yes,1349,65.99,jackets,WOMAN,Autumn,Acrylic,Bangladesh
No,No,772,79.99,shoes,WOMAN,Autumn,Acrylic,China
Yes,Yes,1289,17.95,jackets,MAN,Autumn,Acrylic,Spain
Yes,No,1689,22.95,jackets,WOMAN,Summer,Cotton,Morocco
Yes,No,1422,23.95,t-shirts,MAN,Winter,Wool Blend,Bangladesh
Yes,No,1464,24.95,t-shirts,WOMAN,Spring,Wool,Portugal
Yes,No,1521,34.99,jackets,MAN,Winter,Wool,China
No,No,873,29.99,jackets,WOMAN,Autumn,Acrylic,Portugal
Yes,Yes,1468,16.99,shoes,MAN,Summer,Linen,Portugal
Yes,No,1255,35.95,jackets,WOMAN,Autumn,Polyester,Morocco
No,No,860,39.99,jackets,WOMAN,Autumn,Wool,Portugal
Yes,No,1531,23.99,jackets,WOMAN,Spring,Viscose,India
No,Yes,820,19.99,jackets,MAN,Spring,Cotton,Brazil
Yes,Yes,1260,19.99,jackets,WOMAN,Autumn,Polyester,Vietnam
Yes,Yes,1588,13.99,jackets,WOMAN,Spring,Linen Blend,Bangladesh
No,No,864,19.99,sweaters,WOMAN,Autumn,Polyester,China
No,No,1097,17.99,jackets,WOMAN,Summer,Cotton,Bangladesh
No,No,893,39.99,jackets,WOMAN,Autumn,Wool,India
Yes,No,1507,52.99,jackets,WOMAN,Spring,Viscose,Vietnam
No,Yes,948,74.99,t-shirts,WOMAN,Winter,Wool,India
Yes,Yes,1380,59.0,sweaters,MAN,Summer,Linen,Turkey
No,No,873,89.0,jackets,WOMAN,Winter,Cotton,China
Yes,No,1350,39.99,shoes,MAN,Autumn,Wool,Turkey
No,Yes,758,79.95,jackets,MAN,Autumn,Denim,Morocco
No,No,970,29.0,jackets,MAN,Winter,Wool,Portugal
No,Yes,1135,16.99,jackets,MAN,Summer,Linen,India
Yes,Yes,1679,22.95,jackets,WOMAN,Summer,Linen,China
Yes,Yes,1630,32.99,jackets,WOMAN,Winter,Wool Blend,Bangladesh
No,No,800,49.99,t-shirts,WOMAN,Autumn,Wool,China
No,Yes,933,44.99,t-shirts,MAN,Winter,Cotton,Turkey
No,Yes,978,32.99,jackets,WOMAN,Summer,Cotton,India
No,No,1004,25.99,jackets,WOMAN,Spring,Linen,India
No,No,768,19.95,jackets,MAN,Autumn,Cotton,Morocco
No,No,904,28.99,sweaters,WOMAN,Winter,Wool Blend,China
No,No,908,19.95,t-shirts,WOMAN,Autumn,Cotton,China
No,Yes,745,29.99,jackets,MAN,Autumn,Wool,Morocco
Yes,Yes,1452,45.99,t-shirts,WOMAN,Winter,Cotton,Bangladesh
Yes,No,1435,14.95,jackets,WOMAN,Spring,Linen Blend,China
No,No,1032,25.95,sweaters,WOMAN,Summer,Linen,Turkey
No,Yes,814,35.99,shoes,WOMAN,Autumn,Wool Blend,China
No,No,951,19.99,shoes,WOMAN,Autumn,Denim,Morocco
No,Yes,831,49.95,jackets,WOMAN,Spring,Polyester,Bangladesh
Yes,Yes,1419,40.99,sweaters,WOMAN,Spring,Linen,Morocco
Yes,Yes,1321,88.95,jackets,WOMAN,Autumn,Polyester,Turkey
No,No,761,39.99,sweaters,MAN,Spring,Cotton,Turkey
No,No,831,19.95,sweaters,MAN,Spring,Cotton,Morocco
No,No,778,49.99,jackets,MAN,Autumn,Viscose,Cambodia
Yes,Yes,1268,23.95,sweaters,MAN,Autumn,Viscose,Bangladesh
No,Yes,979,19.99,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
Yes,Yes,1488,36.95,t-shirts,WOMAN,Winter,Polyester,Spain
No,Yes,1159,21.99,t-shirts,WOMAN,Winter,Wool Blend,Portugal
Yes,No,1268,32.95,shoes,MAN,Spring,Cotton,Vietnam
No,No,899,25.99,jackets,WOMAN,Autumn,Polyester,China
Yes,Yes,1365,21.99,jackets,WOMAN,Spring,Polyester,Morocco
No,No,926,19.99,shoes,WOMAN,Autumn,Wool Blend,Bangladesh
No,Yes,1006,39.99,t-shirts,WOMAN,Spring,Cotton,Bangladesh
Yes,Yes,1241,53.99,jackets,WOMAN,Spring,Viscose,Morocco
No,No,1108,21.95,jackets,WOMAN,Summer,Linen,Bangladesh
Yes,Yes,1575,23.99,jackets,WOMAN,Autumn,Wool,Spain
No,No,799,35.99,jackets,WOMAN,Autumn,Wool,China
Yes,Yes,1510,26.0,jackets,WOMAN,Autumn,Wool,Morocco
Yes,Yes,1330,41.95,t-shirts,WOMAN,Spring,Linen,Morocco
No,No,880,55.99,sweaters,MAN,Winter,Wool Blend,Vietnam
No,No,866,49.99,jackets,WOMAN,Autumn,Wool,Vietnam
No,Yes,879,79.99,jackets,WOMAN,Autumn,Polyester,Bangladesh
No,No,734,39.95,jackets,MAN,Autumn,Cotton,Turkey
No,No,1060,31.95,jackets,MAN,Winter,Wool Blend,China
No,Yes,770,59.99,jackets,WOMAN,Autumn,Polyester,Bangladesh
Yes,No,1176,55.99,shoes,WOMAN,Spring,Viscose,Morocco
No,No,762,69.95,sweaters,WOMAN,Autumn,Wool Blend,China
Yes,No,1375,28.95,jackets,WOMAN,Spring,Cotton,China
No,Yes,856,53.99,shoes,MAN,Winter,Wool,Cambodia
No,No,1038,64.99,jackets,WOMAN,Summer,Cotton,Portugal
No,No,922,19.0,t-shirts,WOMAN,Autumn,Polyester,India
No,No,905,29.99,sweaters,WOMAN,Autumn,Wool Blend,Turkey
No,No,669,39.0,jackets,MAN,Autumn,Wool Blend,Portugal
Yes,No,1576,35.99,jeans,WOMAN,Winter,Wool,Bangladesh
Yes,Yes,1486,12.95,t-shirts,WOMAN,Autumn,Wool,Cambodia
Yes,No,1416,20.95,jackets,MAN,Autumn,Polyester,Spain
No,Yes,900,21.95,jeans,WOMAN,Summer,Linen,Turkey
No,No,917,19.95,jackets,WOMAN,Spring,Linen Blend,Portugal
Yes,Yes,1476,29.99,jackets,WOMAN,Spring,Linen Blend,Bangladesh
No,Yes,1001,21.95,t-shirts,WOMAN,Summer,Cotton,China
Yes,Yes,1393,30.99,shoes,MAN,Autumn,Wool Blend,Cambodia
No,Yes,847,43.99,jackets,MAN,Summer,Cotton,Bangladesh
No,Yes,915,59.0,jackets,WOMAN,Autumn,Viscose,Portugal
No,Yes,868,25.95,jackets,WOMAN,Spring,Wool Blend,Brazil
No,No,845,22.99,jackets,MAN,Autumn,Denim,India
Yes,Yes,1157,39.95,jackets,MAN,Autumn,Acrylic,Cambodia
Yes,Yes,1425,17.99,jackets,MAN,Autumn,Wool Blend,Bangladesh
Yes,Yes,1280,32.99,jackets,MAN,Spring,Cotton,Spain
No,Yes,908,64.95,jackets,WOMAN,Winter,Wool,China
Yes,Yes,1226,68.99,sweaters,WOMAN,Spring,Denim,Vietnam
No,No,799,29.95,jackets,MAN,Autumn,Polyester,Bangladesh
No,No,756,45.99,sweaters,MAN,Autumn,Wool Blend,India
No,No,921,25.0,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
No,No,882,21.99,jackets,MAN,Summer,Wool Blend,Morocco
Yes,No,1454,16.95,sweaters,WOMAN,Autumn,Polyester,Cambodia
No,Yes,868,19.95,shoes,WOMAN,Autumn,Denim,China
No,Yes,835,88.0,jackets,WOMAN,Winter,Wool Blend,India
No,Yes,1079,25.0,jackets,MAN,Summer,Linen,Turkey
Yes,Yes,1523,32.99,jackets,WOMAN,Autumn,Wool,China
No,No,877,53.95,shoes,MAN,Summer,Denim,Morocco
Yes,Yes,1112,69.99,jackets,MAN,Autumn,Wool Blend,Vietnam
Yes,Yes,1330,65.95,shoes,WOMAN,Autumn,Cotton,Brazil
No,Yes,725,69.99,t-shirts,WOMAN,Autumn,Wool Blend,Pakistan
Yes,Yes,1354,25.99,jackets,WOMAN,Spring,Linen Blend,China
Yes,No,1278,33.99,jackets,MAN,Autumn,Wool,Spain
Yes,No,1245,67.99,jackets,MAN,Autumn,Wool,Vietnam
No,Yes,793,89.95,jackets,WOMAN,Autumn,Polyester,Turkey
Yes,Yes,1912,18.95,t-shirts,WOMAN,Winter,Wool Blend,Bangladesh
Yes,No,1389,57.95,sweaters,WOMAN,Summer,Linen Blend,Portugal
Yes,No,1246,106.99,t-shirts,WOMAN,Summer,Linen,Portugal
Yes,Yes,1469,26.95,jackets,MAN,Summer,Cotton,Portugal
No,No,906,42.0,sweaters,WOMAN,Summer,Linen,India
Yes,No,1275,47.95,jackets,MAN,Spring,Linen,Bangladesh
No,No,960,24.99,t-shirts,WOMAN,Winter,Wool Blend,Morocco
No,No,984,25.99,jackets,WOMAN,Summer,Linen,Bangladesh
No,No,1129,24.99,jackets,WOMAN,Winter,Wool,Bangladesh
No,Yes,898,15.95,jackets,WOMAN,Spring,Linen,China
No,No,816,59.0,jackets,WOMAN,Autumn,Viscose,China
Yes,Yes,1480,25.99,jackets,MAN,Winter,Wool Blend,Turkey
No,No,953,39.95,jackets,WOMAN,Winter,Wool Blend,Pakistan
No,Yes,710,59.99,jackets,WOMAN,Spring,Polyester,China
Yes,Yes,1053,84.99,jeans,MAN,Spring,Cotton,Vietnam
No,Yes,954,25.95,jackets,WOMAN,Autumn,Polyester,Bangladesh
No,No,875,49.95,jackets,WOMAN,Autumn,Denim,Bangladesh
No,Yes,940,43.0,jackets,WOMAN,Winter,Cotton,Cambodia
Yes,Yes,1306,25.99,jackets,WOMAN,Autumn,Wool,Brazil
No,No,789,25.99,shoes,MAN,Autumn,Polyester,Turkey
No,No,784,45.99,t-shirts,WOMAN,Spring,Cotton,Brazil
No,No,957,59.99,sweaters,WOMAN,Autumn,Polyester,Turkey
Yes,Yes,1292,26.99,sweaters,MAN,Summer,Linen,China
Yes,No,1465,58.99,shoes,MAN,Winter,Cotton,China
Yes,No,1415,24.99,jackets,MAN,Autumn,Wool,Bangladesh
No,No,559,119.99,jackets,MAN,Spring,Linen Blend,Bangladesh
Yes,Yes,1404,23.99,shoes,WOMAN,Spring,Linen,China
No,No,1029,50.99,jackets,WOMAN,Summer,Linen Blend,Morocco
No,No,1000,19.95,jackets,WOMAN,Spring,Cotton,Argentina
Yes,No,1652,26.95,jackets,WOMAN,Autumn,Polyester,Cambodia
No,No,887,45.95,t-shirts,WOMAN,Spring,Linen,Spain
No,Yes,909,66.95,jackets,WOMAN,Summer,Linen,Turkey
No,No,690,45.95,jackets,MAN,Autumn,Wool,Spain
No,Yes,777,65.0,jackets,MAN,Summer,Linen,Spain
Yes,Yes,1531,46.95,jackets,WOMAN,Summer,Cotton,Argentina
No,Yes,931,17.99,jackets,MAN,Winter,Cotton,Morocco
No,No,1025,28.99,t-shirts,MAN,Winter,Wool,Portugal
Yes,Yes,1536,44.95,jackets,WOMAN,Summer,Cotton,China
Yes,Yes,1170,79.95,jackets,WOMAN,Spring,Polyester,China
No,No,864,15.99,jackets,MAN,Autumn,Wool,Morocco
Yes,No,1517,55.99,t-shirts,WOMAN,Winter,Polyester,Pakistan
Yes,Yes,1587,71.95,sweaters,WOMAN,Summer,Linen Blend,China
Yes,Yes,1386,17.95,jackets,MAN,Spring,Linen Blend,Pakistan
Yes,Yes,1058,60.99,sweaters,MAN,Autumn,Wool,India
No,Yes,862,49.99,sweaters,WOMAN,Spring,Linen Blend,China
No,No,886,29.99,jackets,WOMAN,Autumn,Wool,India
Yes,Yes,1262,48.99,t-shirts,MAN,Spring,Cotton,Vietnam
Yes,Yes,1173,57.99,sweaters,MAN,Spring,Cotton,Vietnam
No,No,870,49.99,jackets,WOMAN,Spring,Linen,China
No,No,774,38.0,jackets,MAN,Winter,Wool Blend,Bangladesh
No,Yes,916,19.99,jackets,WOMAN,Spring,Linen,Bangladesh
No,No,756,89.99,jackets,WOMAN,Autumn,Viscose,Bangladesh
Yes,Yes,1650,25.95,jackets,WOMAN,Winter,Denim,China
Yes,Yes,1208,38.99,sweaters,WOMAN,Autumn,Wool Blend,Turkey
No,Yes,974,19.95,t-shirts,WOMAN,Autumn,Wool,China
No,Yes,1066,21.99,jackets,WOMAN,Winter,Wool,Bangladesh
No,No,846,53.99,sweaters,MAN,Summer,Linen,China
No,No,805,29.99,t-shirts,MAN,Autumn,Wool,Bangladesh
No,No,938,33.99,jackets,MAN,Winter,Wool Blend,India
Yes,Yes,1277,60.95,jackets,WOMAN,Spring,Linen,Turkey
Yes,No,1315,53.95,t-shirts,MAN,Winter,Polyester,China
Yes,Yes,1419,20.0,jackets,WOMAN,Spring,Cotton,Cambodia
No,No,902,49.95,jackets,WOMAN,Autumn,Wool,China
Yes,No,1362,31.99,jackets,WOMAN,Autumn,Wool Blend,India
No,Yes,989,20.95,sweaters,WOMAN,Summer,Linen,Turkey
Yes,Yes,1580,18.0,t-shirts,WOMAN,Winter,Polyester,Morocco
No,Yes,798,19.95,jackets,WOMAN,Autumn,Polyester,Pakistan
No,Yes,1042,43.99,sweaters,WOMAN,Winter,Acrylic,China
No,Yes,900,35.95,shoes,WOMAN,Spring,Wool Blend,India
No,Yes,893,39.99,jackets,WOMAN,Autumn,Wool Blend,Spain
No,Yes,824,105.99,t-shirts,MAN,Winter,Polyester,Morocco
Yes,No,1564,19.0,sweaters,WOMAN,Winter,Wool,Brazil
Yes,No,1341,59.99,t-shirts,MAN,Summer,Cotton,China
No,Yes,796,49.99,t-shirts,MAN,Autumn,Wool Blend,Portugal
Yes,Yes,1139,16.99,jackets,MAN,Autumn,Acrylic,Turkey
Yes,Yes,1502,35.95,jackets,WOMAN,Spring,Linen,China
No,No,954,39.99,sweaters,WOMAN,Spring,Satin,Cambodia
No,No,802,45.99,jackets,WOMAN,Autumn,Wool,Turkey
No,Yes,926,21.99,jackets,WOMAN,Winter,Wool Blend,Bangladesh
Yes,No,1453,41.99,shoes,WOMAN,Spring,Linen,Bangladesh
No,No,632,119.99,jackets,WOMAN,Spring,Linen,Spain
Yes,Yes,1651,21.99,jackets,WOMAN,Spring,Polyester,India
No,Yes,1147,22.99,shoes,WOMAN,Winter,Wool Blend,China
No,No,950,49.95,shoes,WOMAN,Autumn,Wool Blend,Bangladesh
No,Yes,717,59.99,jackets,MAN,Autumn,Wool,Turkey
No,Yes,911,22.95,jackets,WOMAN,Winter,Polyester,Vietnam
Yes,Yes,1327,40.99,jackets,WOMAN,Autumn,Polyester,Brazil
No,No,831,49.95,t-shirts,MAN,Autumn,Polyester,Portugal
Yes,Yes,1431,43.99,jackets,WOMAN,Autumn,Polyester,China
No,No,1091,22.99,jackets,WOMAN,Summer,Linen Blend,Portugal
Yes,Yes,1360,24.95,jackets,MAN,Autumn,Wool,Morocco
No,No,999,39.99,jackets,WOMAN,Winter,Polyester,Bangladesh
No,No,933,35.99,jackets,WOMAN,Autumn,Wool,India
Yes,Yes,1581,13.99,t-shirts,WOMAN,Spring,Cotton,India
No,Yes,833,22.99,jackets,MAN,Autumn,Cotton,India
Yes,Yes,1356,41.95,t-shirts,WOMAN,Autumn,Wool,India
No,Yes,871,29.95,t-shirts,WOMAN,Autumn,Cotton,Brazil
No,Yes,768,49.95,shoes,WOMAN,Spring,Polyester,Morocco
No,No,896,59.99,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
No,Yes,730,35.99,jeans,MAN,Spring,Polyester,Bangladesh
No,No,761,35.0,shoes,MAN,Spring,Linen Blend,Pakistan
No,No,866,17.99,t-shirts,MAN,Summer,Cotton,Portugal
No,Yes,738,89.99,t-shirts,WOMAN,Autumn,Wool Blend,China
Yes,Yes,1421,13.99,shoes,MAN,Spring,Cotton,Morocco
Yes,No,1293,26.95,jackets,MAN,Autumn,Cotton,Portugal
No,No,1002,21.99,jackets,WOMAN,Summer,Linen,Portugal
No,No,1069,22.95,sweaters,WOMAN,Winter,Denim,Bangladesh
No,Yes,870,59.0,jackets,WOMAN,Autumn,Acrylic,Cambodia
No,No,994,49.99,jackets,WOMAN,Summer,Linen,Portugal
No,No,772,49.99,sweaters,MAN,Spring,Cotton,Cambodia
No,No,736,29.95,t-shirts,MAN,Autumn,Denim,Vietnam
No,No,1013,21.99,jackets,WOMAN,Winter,Wool,Bangladesh
No,No,841,49.99,jeans,MAN,Winter,Wool Blend,Turkey
No,No,831,42.99,jackets,MAN,Winter,Wool Blend,Turkey
No,No,888,48.0,jackets,WOMAN,Winter,Wool,India
Yes,No,1471,23.99,jackets,WOMAN,Autumn,Cotton,Turkey
Yes,Yes,1534,16.99,jackets,WOMAN,Autumn,Polyester,India
No,No,1065,21.99,jackets,WOMAN,Summer,Linen,China
No,Yes,865,39.95,jackets,MAN,Autumn,Wool Blend,India
Yes,Yes,1461,21.95,sweaters,MAN,Summer,Linen,Spain
No,No,718,54.95,jackets,MAN,Summer,Cotton,China
No,No,956,35.0,jackets,WOMAN,Autumn,Wool,Vietnam
No,No,899,35.99,jackets,WOMAN,Autumn,Polyester,Cambodia
Yes,Yes,1670,47.95,shoes,WOMAN,Winter,Cotton,Turkey
No,No,932,19.99,shoes,WOMAN,Spring,Linen,China
Yes,Yes,1423,17.99,sweaters,WOMAN,Autumn,Wool,Turkey
No,Yes,857,15.0,jackets,WOMAN,Spring,Polyester,China
No,No,856,126.95,t-shirts,WOMAN,Winter,Cotton,Pakistan
No,No,960,25.99,shoes,WOMAN,Summer,Cotton,Vietnam
Yes,Yes,1482,18.99,jackets,WOMAN,Autumn,Wool,China
No,No,877,39.99,t-shirts,WOMAN,Autumn,Wool,China
No,No,751,54.99,t-shirts,MAN,Winter,Wool,Portugal
No,No,834,35.95,t-shirts,WOMAN,Spring,Linen,Pakistan
No,No,932,89.99,jackets,WOMAN,Summer,Cotton,China
No,No,1027,21.99,shoes,WOMAN,Winter,Viscose,Cambodia
No,No,1034,25.99,shoes,WOMAN,Autumn,Cotton,Vietnam
Yes,Yes,1506,18.99,jackets,MAN,Summer,Linen,Bangladesh
Yes,No,1241,24.99,jackets,WOMAN,Spring,Linen Blend,China
Yes,No,1445,31.0,t-shirts,WOMAN,Autumn,Denim,India
No,No,1125,17.95,shoes,WOMAN,Winter,Wool,Bangladesh
No,No,853,15.95,jackets,MAN,Autumn,Viscose,Portugal
No,No,849,59.99,shoes,WOMAN,Autumn,Viscose,China
Yes,Yes,1680,34.99,jackets,WOMAN,Winter,Wool,Turkey
No,Yes,869,35.95,jackets,WOMAN,Autumn,Wool Blend,Turkey
Yes,No,1508,24.99,jackets,WOMAN,Summer,Linen,Turkey
Yes,Yes,1471,18.99,jackets,MAN,Summer,Cotton,Spain
No,No,819,19.0,jackets,WOMAN,Autumn,Acrylic,Spain
Yes,Yes,1362,25.99,t-shirts,MAN,Spring,Viscose,Pakistan
Yes,Yes,1533,26.99,sweaters,WOMAN,Autumn,Wool,Morocco
Yes,No,1368,43.99,sweaters,WOMAN,Autumn,Wool,China
No,Yes,603,119.99,shoes,MAN,Autumn,Cotton,Spain
Yes,No,1540,34.95,jackets,WOMAN,Spring,Cotton,Cambodia
Yes,No,1199,53.99,jackets,WOMAN,Spring,Linen,Cambodia
Yes,Yes,1448,15.99,jackets,WOMAN,Autumn,Cotton,Spain
No,No,1110,43.95,jackets,WOMAN,Summer,Linen,China
No,No,1026,28.95,jackets,WOMAN,Winter,Wool Blend,Bangladesh
No,Yes,1108,43.99,jackets,WOMAN,Winter,Wool Blend,Spain
No,Yes,807,22.95,jackets,WOMAN,Spring,Linen,China
Yes,No,1112,70.99,jackets,MAN,Autumn,Wool,Bangladesh
No,No,780,69.95,jackets,WOMAN,Autumn,Wool,Bangladesh
No,No,808,22.99,sweaters,MAN,Spring,Cotton,Bangladesh
Yes,Yes,1448,28.0,jackets,MAN,Winter,Acrylic,Bangladesh
No,No,805,22.0,jackets,MAN,Spring,Linen,Morocco
Yes,Yes,1618,18.99,shoes,WOMAN,Winter,Cotton,China
Yes,Yes,1550,48.95,jackets,WOMAN,Winter,Wool,Vietnam
No,No,877,29.99,sweaters,WOMAN,Spring,Denim,India
Yes,No,1518,57.99,t-shirts,WOMAN,Summer,Cotton,Bangladesh
No,No,786,19.99,jackets,MAN,Autumn,Cotton,Spain
No,Yes,770,99.99,sweaters,WOMAN,Spring,Viscose,China
No,Yes,1036,28.0,jackets,WOMAN,Winter,Wool Blend,China
No,No,1123,21.99,jackets,WOMAN,Summer,Cotton,Morocco
No,No,957,39.95,jeans,WOMAN,Spring,Linen,China
No,No,893,49.99,jackets,WOMAN,Spring,Linen,Bangladesh
No,No,890,27.95,sweaters,MAN,Winter,Wool,Turkey
No,No,890,19.0,t-shirts,WOMAN,Spring,Linen,India
No,Yes,715,79.99,jackets,MAN,Autumn,Denim,China
Yes,Yes,1514,12.95,jackets,WOMAN,Spring,Denim,Portugal
Yes,No,1206,55.95,jackets,WOMAN,Spring,Cotton,Morocco
No,Yes,1039,24.99,jeans,WOMAN,Winter,Acrylic,Spain
No,No,985,43.99,shoes,WOMAN,Summer,Viscose,Bangladesh
Yes,Yes,1643,17.99,shoes,WOMAN,Winter,Wool,Turkey
Yes,Yes,1539,16.0,t-shirts,WOMAN,Spring,Cotton,China
Yes,No,1379,48.99,jackets,WOMAN,Autumn,Wool Blend,China
No,No,929,31.99,sweaters,MAN,Winter,Acrylic,Bangladesh
No,No,857,89.95,jackets,WOMAN,Summer,Linen,Pakistan
Yes,No,1344,87.95,sweaters,WOMAN,Summer,Viscose,Turkey
No,Yes,928,27.99,sweaters,WOMAN,Summer,Polyester,Brazil
Yes,No,1554,18.99,t-shirts,MAN,Winter,Wool,Portugal
No,No,913,25.95,jackets,WOMAN,Autumn,Cotton,China
Yes,Yes,1387,44.99,t-shirts,WOMAN,Winter,Wool,China
No,No,829,49.99,jackets,WOMAN,Spring,Cotton,Morocco
Yes,No,1358,26.99,shoes,MAN,Spring,Cotton,Vietnam
No,Yes,944,50.99,jackets,WOMAN,Winter,Viscose,Morocco
No,No,801,94.95,shoes,MAN,Summer,Linen,India
No,Yes,914,42.99,jackets,WOMAN,Summer,Cotton,India
No,Yes,891,50.99,sweaters,WOMAN,Winter,Wool Blend,China
Yes,Yes,1155,47.95,jackets,MAN,Autumn,Wool,Morocco
No,No,1058,42.95,sweaters,WOMAN,Winter,Wool,China
No,Yes,780,79.99,jackets,WOMAN,Autumn,Polyester,Bangladesh
No,No,854,69.95,jackets,WOMAN,Autumn,Denim,Bangladesh
Yes,Yes,1558,39.99,jackets,WOMAN,Winter,Wool,Portugal
Yes,No,1217,85.0,t-shirts,MAN,Winter,Wool,Cambodia
Yes,Yes,1286,26.99,sweaters,MAN,Autumn,Viscose,China
Yes,Yes,1284,24.95,jackets,WOMAN,Autumn,Acrylic,India
No,No,774,49.95,sweaters,WOMAN,Autumn,Wool,Pakistan
Yes,Yes,1132,36.99,sweaters,MAN,Spring,Linen,Bangladesh
No,No,807,59.95,jackets,WOMAN,Autumn,Polyester,Turkey
Yes,No,1359,68.95,jackets,WOMAN,Spring,Cotton,India
No,Yes,636,89.99,t-shirts,MAN,Autumn,Polyester,Bangladesh
No,No,797,69.99,sweaters,WOMAN,Autumn,Viscose,Bangladesh
No,No,944,32.95,shoes,WOMAN,Winter,Polyester,Bangladesh
No,No,1112,32.99,jackets,WOMAN,Winter,Acrylic,Bangladesh
Yes,Yes,1440,41.95,t-shirts,WOMAN,Autumn,Cotton,Brazil
No,Yes,823,69.99,shoes,WOMAN,Spring,Polyester,Portugal
No,No,904,32.95,jackets,MAN,Winter,Cotton,China
No,No,1060,22.99,jackets,WOMAN,Winter,Acrylic,India
Yes,No,1237,21.99,jackets,MAN,Autumn,Cotton,Morocco
No,No,1007,21.0,t-shirts,WOMAN,Winter,Polyester,India
Yes,Yes,1394,31.99,jackets,MAN,Autumn,Cotton,Bangladesh
No,Yes,782,35.99,shoes,WOMAN,Spring,Cotton,Turkey
No,No,928,32.99,jackets,MAN,Winter,Wool Blend,Brazil
No,Yes,780,59.99,jackets,WOMAN,Autumn,Viscose,China
No,Yes,843,49.99,sweaters,WOMAN,Spring,Satin,Turkey
No,Yes,832,15.95,jackets,MAN,Autumn,Polyester,Turkey
No,No,739,49.99,jackets,WOMAN,Autumn,Wool Blend,Spain
No,Yes,975,33.99,shoes,MAN,Summer,Linen,Bangladesh
No,Yes,948,52.99,jackets,WOMAN,Summer,Linen,Morocco
Yes,No,1754,17.95,sweaters,WOMAN,Winter,Cotton,India
No,No,1067,28.95,t-shirts,WOMAN,Winter,Polyester,China
Yes,No,1248,108.95,jackets,WOMAN,Winter,Wool,Cambodia
No,No,828,35.99,t-shirts,MAN,Autumn,Wool Blend,Turkey
No,No,912,31.99,jackets,WOMAN,Summer,Linen,Morocco
Yes,Yes,1225,53.99,jackets,WOMAN,Spring,Linen,Turkey
No,No,1031,42.95,jackets,WOMAN,Winter,Denim,China
No,Yes,887,19.99,jackets,WOMAN,Spring,Cotton,Bangladesh
Yes,Yes,1421,42.99,jackets,WOMAN,Autumn,Viscose,Portugal
Yes,No,1716,13.95,jackets,WOMAN,Winter,Wool Blend,China
No,No,950,39.95,sweaters,WOMAN,Summer,Linen,Bangladesh
No,No,1055,22.95,t-shirts,WOMAN,Winter,Wool Blend,Cambodia
No,Yes,895,50.0,t-shirts,WOMAN,Winter,Wool,India
Yes,Yes,1639,24.95,sweaters,WOMAN,Winter,Cotton,Pakistan
Yes,Yes,1292,41.95,sweaters,WOMAN,Autumn,Wool Blend,China
No,Yes,831,49.95,t-shirts,WOMAN,Autumn,Viscose,Morocco
Yes,Yes,1306,72.99,shoes,WOMAN,Autumn,Wool,Portugal
Yes,No,1364,31.99,shoes,MAN,Autumn,Wool,China
Yes,No,1359,35.99,t-shirts,WOMAN,Autumn,Viscose,Spain
Yes,Yes,1644,14.95,t-shirts,WOMAN,Summer,Linen,Turkey
Yes,Yes,1332,28.99,jackets,WOMAN,Summer,Wool Blend,Spain
No,No,818,39.99,jackets,WOMAN,Autumn,Wool,Turkey
Yes,No,1752,28.99,jackets,WOMAN,Winter,Wool Blend,Bangladesh
Yes,No,1263,18.99,jackets,MAN,Autumn,Viscose,China
No,No,761,39.99,jackets,MAN,Autumn,Viscose,China
Yes,No,1396,78.99,jackets,WOMAN,Summer,Linen,China
No,No,955,38.95,t-shirts,WOMAN,Winter,Wool,Morocco
Yes,No,1228,61.99,t-shirts,WOMAN,Spring,Linen,Cambodia
No,No,713,69.95,t-shirts,MAN,Autumn,Cotton,Brazil
Yes,Yes,1362,19.99,shoes,WOMAN,Autumn,Wool Blend,Brazil
Yes,Yes,1257,85.99,shoes,WOMAN,Autumn,Wool,Spain
Yes,No,1644,28.95,sweaters,WOMAN,Winter,Wool Blend,China
No,No,1113,21.0,shoes,WOMAN,Winter,Wool,China
No,No,933,45.95,shoes,WOMAN,Autumn,Acrylic,Morocco
Yes,Yes,1369,38.95,jackets,MAN,Autumn,Wool,China
Yes,No,1626,37.99,jackets,WOMAN,Summer,Linen Blend,Portugal
No,No,888,88.99,jackets,WOMAN,Winter,Wool,Morocco
Yes,Yes,1598,44.99,jackets,WOMAN,Winter,Wool Blend,China
